bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,pac_num,tcp_num,ack_num,sum_byte,mean_payload,stand_payload,skew_payload,kurt_payload,time_duration,avg_byte,pop_byte,pop_pac_num,push_byte,push_pac_num,class_value
118,0,38,0,0,118,0,0,19,19,156,0,78,16814,107.782051282,149.419793778,1.16486602486,-0.265783888866,40.143571853637695,418.8466353044856,2769,19,1520,20,1
4,0,2,0,0,4,0,0,1,1,6,0,3,801,133.5,182.454103818,1.02164718685,-0.970506145108,0.5948669910430908,1346.5194943754702,10959,77,5776,78,1
12,0,4,0,0,12,0,0,2,2,16,0,8,1760,110.0,156.129006487,1.24664131062,-0.0188599848955,4.008387804031372,439.0792722774748,418,2,304,3,1
18,0,6,0,0,18,0,0,3,3,24,0,12,2624,109.333333333,153.063688554,1.19255788919,-0.192657557435,5.952104091644287,440.85250519789076,1073,7,608,8,1
6,0,2,0,0,6,0,0,1,1,8,0,4,880,110.0,161.608875287,1.40509824775,0.630555740286,1.5869758129119873,554.5138072301573,1633,11,912,12,1
26,0,8,0,0,26,0,0,4,4,34,0,17,3583,105.382352941,149.14138395,1.25234284976,-0.00762420429632,9.28159499168396,386.03278889137744,497,3,304,4,1
10,0,4,0,0,10,0,0,2,2,14,0,7,1681,120.071428571,164.354899431,1.07151526892,-0.568860468012,2.226923942565918,754.8529017399262,2288,16,1216,17,1
24,0,8,0,0,24,0,0,4,4,32,0,16,3520,110.0,153.590154254,1.18276512495,-0.217045143781,7.832857131958008,449.389021234464,994,6,608,7,1
108,0,36,0,0,108,0,0,18,18,144,0,72,15744,109.333333333,150.363940775,1.12847913114,-0.366002315495,31.734535932540894,496.1156524698366,2225,15,1216,16,1
6,0,2,0,0,6,0,0,1,1,8,0,4,864,108.0,157.294083078,1.36330358005,0.416771336273,0.9535768032073975,906.0623088710821,10193,71,5472,72,1
102,0,34,0,0,102,0,0,17,17,136,0,68,14864,109.294117647,150.315870759,1.12855588525,-0.366155750328,32.36171793937683,459.3081253549244,481,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.501884937286377,596.5836514872459,9617,67,5168,68,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.6286900043487549,550.1353834109598,513,3,304,4,1
4,0,2,0,0,4,0,0,1,1,6,0,3,817,136.166666667,187.49124424,1.0644619731,-0.753018522101,0.7058238983154297,1157.5125211117265,0,0,0,1,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,2.443492889404297,366.68819618232544,434,2,304,3,1
4,0,2,0,0,4,0,0,1,1,6,0,3,817,136.166666667,187.49124424,1.0644619731,-0.753018522101,0.4534621238708496,1801.6940268922867,0,0,0,1,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.7892429828643799,500.7704423496485,434,2,304,3,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.5522100925445557,577.2414470847674,513,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.3823559284210205,648.1688120826054,513,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.0795471668243408,829.9776309317972,513,3,304,4,1
11,0,2,0,0,11,0,0,1,1,13,3,6,896,68.9230769231,138.894121269,2.15766666473,3.86045613108,1.6598119735717773,539.8201810003109,513,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.7706449031829834,506.0303160669392,592,6,304,6,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.6242201328277588,551.6493619864622,513,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,0.9084510803222656,986.2941653194482,513,3,304,4,1
9,1,2,0,0,9,1,0,1,1,12,2,5,1068,89.0,143.902113194,1.70733085649,2.13660921375,1.2943780422210693,825.1067038864325,513,3,304,4,1
5,0,0,0,2,5,0,0,0,2,7,0,6,2775,396.428571429,650.686780037,1.22138257428,-0.847504167337,0.24468588829040527,11341.070870039277,592,5,476,6,1
4,0,2,0,0,4,0,0,1,1,6,0,3,817,136.166666667,187.49124424,1.0644619731,-0.753018522101,0.47327184677124023,1726.2805839260147,2775,3,0,3,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.736793041229248,515.8933613447916,434,2,304,3,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.4801359176635742,605.3498123431494,513,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.2813868522644043,699.2423860262281,513,3,304,4,1
4,0,2,0,0,4,0,0,1,1,6,0,3,817,136.166666667,187.49124424,1.0644619731,-0.753018522101,0.3875751495361328,2107.9782875084275,0,0,0,1,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.5338599681854248,584.147196344122,434,2,304,3,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.7000699043273926,527.0371516602366,513,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.4767858982086182,606.7230199630648,513,3,304,4,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.2301931381225586,728.3409183759693,513,3,304,4,1
25,0,3,1,2,25,3,1,0,2,31,8,15,4674,150.774193548,356.994744096,2.83786858829,7.61187694226,2.7707431316375732,1686.9120585846433,513,3,304,4,1
14,0,3,1,0,14,0,2,1,1,18,4,8,1958,108.777777778,205.172970229,2.04862597348,3.80698392001,1.9745581150054932,991.6142680837494,862,13,3733,17,1
6,0,2,0,0,6,0,0,1,1,8,0,4,896,112.0,166.00430287,1.44783543407,0.852318806651,1.4362740516662598,623.8363764634796,855,8,1024,9,1
53,11,1,2,87,64,1,1,1,87,154,4,122,122943,798.331168831,650.523439869,-0.323345569176,-1.87557060952,0.19870996475219727,618705.7611998321,0,0,0,0,2
58,11,1,2,90,69,1,1,1,90,162,4,130,126951,783.648148148,654.285077308,-0.280816249509,-1.90311645748,0.12888097763061523,985025.1164594147,3507,56,119436,97,2
56,10,0,4,90,66,0,3,1,90,160,4,133,127801,798.75625,650.530840295,-0.331814198463,-1.86641320821,0.2112288475036621,605035.7302535786,3710,63,123241,98,2
45,7,0,4,45,52,0,3,1,45,101,2,74,65528,648.792079208,658.015840491,0.116714910874,-1.96997264313,0.20707011222839355,316453.20174320537,4375,59,123426,100,2
54,10,0,4,87,64,0,3,1,87,155,2,132,123739,798.316129032,649.739775631,-0.328935406546,-1.86722436804,0.17676901817321777,700003.8880045534,3348,38,62180,62,2
55,11,0,4,90,66,0,3,1,90,160,2,135,128040,800.25,648.957693575,-0.333437220571,-1.86308143121,0.202178955078125,633300.3350943397,4375,56,119364,98,2
63,16,0,4,90,79,0,3,1,90,173,2,132,128298,741.606936416,656.78157882,-0.149973599391,-1.95933745007,0.2243788242340088,571791.9257219909,4614,59,123426,100,2
58,10,0,4,87,68,0,3,1,87,159,2,136,123753,778.320754717,653.553812887,-0.268446091838,-1.90512736029,0.1850881576538086,668616.5207364012,4871,64,123427,108,2
55,10,0,4,66,65,0,3,1,66,135,2,102,94733,701.725925926,659.741892426,-0.0382890022727,-1.98096666031,0.3010082244873047,314718.9754079143,4388,60,119365,98,2
57,11,0,4,90,68,0,3,1,90,162,2,137,128057,790.475308642,650.910200756,-0.303773800201,-1.88279140092,0.17870402336120605,716587.111982165,3992,51,90741,83,2
66,12,0,4,87,78,0,3,1,87,169,4,132,123912,733.207100592,658.904627427,-0.130739803112,-1.9635496043,0.24932599067687988,496987.89790666784,4630,61,123427,100,2
56,10,0,4,87,66,0,3,1,87,157,2,134,123755,788.248407643,651.715494164,-0.298388193809,-1.88721948939,0.19118499755859375,647304.9746598029,4547,62,119365,106,2
54,10,0,4,87,64,0,3,1,87,155,2,132,123753,798.406451613,649.681657277,-0.329212828893,-1.86687773143,0.1768970489501953,699576.3961830826,4390,58,119365,98,2
50,9,0,4,90,59,0,3,1,90,153,2,130,127578,833.843137255,643.51151298,-0.443541183066,-1.77768527168,0.18517208099365234,688969.9533288355,4388,56,119365,98,2
52,11,0,4,87,63,0,3,1,87,154,2,130,123752,803.584415584,646.442670942,-0.345598896987,-1.85085210423,0.19701194763183594,628144.6454773407,4151,53,123427,99,2
77,15,0,4,85,92,0,3,1,85,181,2,125,121385,670.635359116,661.19749081,0.0567333355284,-1.97967957932,0.3157057762145996,384487.7387276218,4387,57,119365,96,2
62,11,0,4,87,73,0,3,1,87,164,4,136,123992,756.048780488,655.882291595,-0.199148200567,-1.93725510778,0.2014331817626953,615549.0317681258,4790,62,116595,118,2
49,10,0,4,87,59,0,3,1,87,150,2,127,123752,825.013333333,643.547988299,-0.411094711382,-1.80312854744,0.18471598625183105,669958.2559751148,4627,63,119365,100,2
38,6,0,4,32,44,0,3,1,32,80,2,52,47545,594.3125,650.707338477,0.282795230234,-1.9015838641,0.30817389488220215,154279.7777150262,4387,51,119365,98,2
55,10,0,4,90,65,0,3,1,90,159,2,135,127815,803.867924528,649.408154245,-0.347435567284,-1.85512013997,0.21065092086791992,606762.1232006918,3030,27,44515,52,2
